s2orc_paper_id;mag_id;journal_id;journal_cc
16880444;1479737182;2764552960;4452
17352760;1500659650;201224749;45171
578349;2584260698;106296714;445707
5167271;2522327589;106296714;445707
2725803;1554423888;2939117604;88105
2680602;1556243378;2764713154;4447
26479450;1581827580;2764848058;38478
43176051;1625948315;136297078;2508
14274262;1694887423;42192170;24399
8831047;1700901120;73458468;62989
43801651;2526946698;106296714;445707
333785;1913896462;193368155;52499
16185702;1949768901;141020589;123536
653984;1953966876;151550017;55787
1236;1969581540;196139623;317184
17145762;1971404613;195663827;20116
691276;1971842233;164906323;38242
14726071;1979392751;92819544;35111
14531812;1991341583;93822064;6099
282895;1591897286;2764557503;7380
8274124;1994111344;201224749;45171
15126836;2012435866;40579697;35926
15348366;2020481222;119630662;28563
11062869;2024810302;165542689;26328
17315153;2027029138;42286584;27639
18385766;2031598768;32898093;75887
210714576;2056104224;107925523;20274
202712678;2084291270;1980519;6235692
6786632;2995660800;2764851293;3288
13581984;2461907743;106296714;445707
13361520;2592965936;106296714;445707
3222139;2106322422;149131268;266090
53231671;2109211071;70718007;205848
19004499;2110350701;33368595;69099
55019027;2129379069;61442588;2859
5352336;2136755165;579031;50822
17319523;2139599273;126256729;34268
5595192;2141713902;202381698;5618654
638513;2947661187;2736858385;173
14952806;2404155121;173545869;43608
3429309;2412782625;199944782;1180122
18335403;2496020075;2764534902;2768
19175604;2535619235;103321696;827561
16139557;2162165644;96638545;2588377
1072005;2566400186;106296714;445707
3475969;2093333858;149131268;266090
8928307;2804995076;106296714;445707
9813424;2949288242;2764847869;62351
55009753;2951240563;161160597;21530
53236530;2952039123;90727058;276687
5073265;2962860067;171741597;129509
33596726;2962944213;74141806;133082
3609994;2962957542;193920097;242261
37100261;2962973319;7571225;94475
42489969;2963025906;16793705;14418
10521748;2963239505;2764373995;6469
9096277;2963364193;38448739;44405
18435935;2963481646;164833468;9685
15762169;2963646327;70478294;11400
32430751;2963856015;177430994;129040
14639080;2963963665;5437875;70003
11704758;2963998718;207319443;33797
16555102;2964085117;2764848058;38478
2216379;2997617429;106296714;445707
15282282;2997657741;205231332;1790391
51791460;3009914920;2737774819;5107
210116692;3010472383;59604973;183195
6964023;2963667310;114379355;11863
53052501;3022133575;116045149;70355
3152863;2144055462;168273071;28276
8173387;2303314472;203348814;267682
40486748;115069238;141074886;46857
199442574;2976911694;90573847;353163
54569154;1840356856;158241587;516953
9959151;2407772006;2764982455;156
14407461;1994358002;151579836;460311
7917641;1908073171;199944782;1180122
199577413;2976597061;18902827;181741
14819949;427286788;2764846071;16403
209426675;2621565987;133490392;3199219
29936858;2027638118;2756314272;5537
17797087;2734907804;2764728784;1609
23644814;2618072050;40006715;429539
2026569;1977531046;153101029;13616
6374310;2594037736;94052278;356094
119162262;2778983193;204851967;17781
56657868;3015744214;155380582;19690
160208;2332182779;189402472;79288
53654495;1940787084;207178839;5016394
42484471;2605692204;11065456;60363
40550124;1833042526;207178839;5016394
31019129;1963825920;148709879;854018
14080011;2982327144;195663288;2486617
15992974;1864742560;44425019;2338361
1134336;2053245796;147953040;137119
199405460;2991119219;142305363;303269
2305800;2118215847;2755481371;17819
17772781;2058824702;2764848058;38478
14011177;1528466706;103671469;57875
1464209;2096211361;5043877;14123
6348305;2100026337;171424506;38322
119619729;2913024421;148709879;854018
11349921;1965955669;134216166;72103
12849539;1828519757;204847658;947275
39641581;2756979373;189798733;139541
13927977;2405491674;11189987;11882
14105798;2055623023;151498627;134334
17682015;2311337072;202381698;5618654
119594179;3004294979;24251679;64020
18440440;2584659503;106296714;445707
198358658;2094197368;35093870;63440
14025462;1970437113;97964121;15922
7318;60734723;105380075;107614
43365537;1481003685;32973720;245042
2630803;2140799769;207178839;5016394
18097516;2473639278;82675988;43051
5943435;2015726430;128556326;100941
55223397;2896366877;2898405271;48160
2342054;2109627103;158797327;443603
18404538;2063439931;147691735;78806
14715095;2613429282;106296714;445707
16571000;2584830095;106296714;445707
15735280;1524083731;192843772;5959
201313562;1541587921;90727058;276687
10581840;1592302919;183800547;32769
17266519;1601462661;31485498;2300
575669;1810485791;36624081;1644091
14611146;1950257416;195663288;2486617
14154566;1963720790;23260266;16509
210142880;1965126264;205231332;1790391
17156671;1970254721;59670734;12036
33573234;1974571125;2898246533;246019
85496589;1989845265;179979277;156353
41243361;1998865350;7291079;26677
6350521;2011584609;165473669;223494
2013455;2014223029;81011612;113252
6455117;2020938661;207023548;306970
215548235;2022070851;200071133;4046095
6545110;2025222783;30698027;249208
9208917;2029938155;2939117604;88105
3634619;2036631599;97130795;176065
3104891;2040941517;187585107;1398361
8274876;2046132425;4357572;33686
1402726;2063123441;30698027;249208
2758248;2064116279;181633058;28119
16092682;2074816726;199944782;1180122
292710;2086779071;189701308;246989
17764803;2089593901;171741597;129509
5436463;2093635261;2939117604;88105
2338027;2105443299;102439543;315038
6416654;2105693192;193920097;242261
114217637;2121526236;143063394;11051
6511783;2135889103;52395412;1442288
15880279;2153532220;203348814;267682
7728071;2165923712;4502562;1059288
31822354;2170906092;117679221;53909
1330809;2171050449;18904315;66298
11439217;2115845994;197149224;13295
53540921;2294898160;97042997;7464
5077483;2397037157;97130795;176065
7408928;2427738745;8351582;307884
9812561;2517021367;106296714;445707
35169304;2543926021;151550017;55787
27473362;2555444332;925225069;18083
766167;2608177516;97130795;176065
118644377;2625583653;74141806;133082
367494;2727960002;106296714;445707
483540;2788858667;106296714;445707
49664409;2813911573;199944782;1180122
85533536;2886930096;102439543;315038
13744946;2962751385;2898405271;48160
222066;2962785534;48370085;22069
59222829;2962897570;190787756;26462
14550418;2963046387;2764871730;3404
17555818;2963120212;32426043;1141
62831163;2963142146;134585236;5391
19873918;2963231815;38448739;44405
102352366;2963238370;200334879;9850
15909991;2963375421;177675236;99760
13986076;2963402579;134668137;3562302
1477119;2963599415;182658835;8044
28208065;2963613466;195663827;20116
119638351;2963627984;193920097;242261
67771220;2963809247;193368155;52499
2871303;2963982425;151639445;27296
17427740;2964065059;2738720830;1813
57373756;2964097823;73535193;218150
21754088;2964102916;199276155;35645
208175621;3000944034;106296714;445707
58932346;3003085943;201849197;187702
209414719;3005236729;87067389;79348
208006426;3006182369;84775595;156757
57189115;3010685994;18902827;181741
207780498;3014979526;8351582;307884
208158380;3018842261;172538041;42732
16612363;3022953487;165454098;237413
202540595;3033105020;41486457;33222
14684552;2238835347;111496547;25653
