s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
207779953;2983008405;2019;2;0;28;245357;46;9;2;16;6;11
162168819;2991523118;2020;6;3;26;242843;23;5;6;26;5;22
119318719;2996252310;2019;3;0;6;5849;22;6;3;2;0;4
119166114;2996580460;2019;1;1;0;43678;78;11;1;78;11;7
119138367;3001302881;2016;3;1;0;39171;117;17;3;91;12;5
119307390;3002776444;2020;3;2;21;5038;28;6;3;19;6;12
119311856;3010716154;2020;2;0;26;55829;2;1;2;2;1;8
195874284;3012083748;2020;3;1;17;233230;70;12;3;93;12;9
201698491;3013644405;2020;4;0;25;5685;19;1;4;127;14;6
119648373;3014625605;2020;4;0;0;55181;8;2;4;155;32;13
119589530;3023511428;2018;3;2;6;1812;116;10;3;13;2;8
119641136;3023611693;2020;2;0;0;24113;16;3;2;9;1;13
119623966;3026227966;2020;2;0;14;1594;54;11;2;85;13;6
209862761;3033587006;2020;1;0;7;263638;49;11;1;49;11;11
53702966;2900837073;2019;6;7;38;31711;6;3;6;366;26;13
119315141;2964088536;2014;3;11;35;7746;58;10;3;3;3;15
570626;2963650075;2017;3;1;11;135193;146;25;3;42;6;7
16588096;132097298;2004;2;9;9;151049;146;32;2;457;58;9
11642561;2962730627;2018;6;6;28;257552;14;4;6;43;14;9
16942089;2016597658;2001;3;30;22;18920;39;11;3;10;5;7
119323107;2990553915;2019;3;1;0;98883;51;23;3;37;9;18
73592932;1765874071;2015;1;0;0;17481;3;0;1;3;0;11
15190874;1966651796;2012;2;2;12;286988;1;1;2;1;1;8
53561118;2051456715;1915;1;4;0;192891;216;40;1;216;40;5
33907953;2170031078;2009;1;16;14;63525;1;1;1;1;1;23
56285694;2073290731;2010;3;0;9;14686;9;4;3;191;22;3
17230189;1978430241;2012;1;22;7;2859;1;1;1;1;1;8
211258698;3006824221;2020;4;0;32;222509;11;1;4;146;10;22
180928;2362970557;2016;1;2;0;12559;133;21;1;133;21;8
119150705;2756364204;2017;2;6;21;161871;36;6;2;3;1;18
38052510;2518895445;2017;1;2;15;23329;145;19;1;145;19;11
53670155;2049701975;1992;1;4;5;14328;1;1;1;1;1;14
119149357;2592861608;2017;3;2;20;28851;1;1;3;1;1;11
15620599;2781642705;1998;3;9;8;96080;22;10;3;6;3;12
1004957;1102237418;2015;2;29;25;10757;54;11;2;79;13;13
119612561;2963135020;2019;2;0;16;21405;40;7;2;108;12;7
119734558;2963877140;2013;2;68;27;178529;128;26;2;1;1;10
73567412;1987942421;2008;3;29;44;40976;539;104;3;75;29;9
119319243;3011418104;2020;3;0;13;4996;5;2;3;76;15;8
119620931;1990067819;2004;2;114;23;8276;110;20;2;39;16;9
173990151;2883537538;2018;2;0;0;438457;132;8;2;247;26;9
14415554;77794228;2002;2;7;3;10808;1;1;2;1;1;9
209376492;2995975627;2020;2;0;26;49267;1;0;2;1;0;16
14568774;2033410009;2004;4;113;39;24834;172;37;4;10;6;13
3884531;2583582894;2018;2;16;2;30306;112;23;2;452;32;10
119187262;2765500606;2018;7;0;57;5448;35;10;7;2;0;15
117046879;2963320695;2017;2;58;0;148553;65;17;2;34;10;6
119170429;2008013286;2014;3;0;7;10212;112;16;3;1;0;8
118165937;2146343279;2009;3;52;27;22251;74;17;3;411;83;13
119280373;2085936276;2008;15;22;50;65337;83;19;9;151;16;23
119662469;2059078273;2015;2;5;22;23080;2;1;2;55;5;5
196621525;2142621402;2010;11;0;27;170843;68;34;9;39;22;14
119152319;2891785436;2019;2;1;13;38675;5;1;2;3;1;8
55716801;2320531140;2016;2;0;27;63617;25;5;2;36;9;6
118996942;2475071044;2010;3;0;0;16404;335;52;3;23;4;12
73590755;2788860117;2018;2;12;40;94545;24;7;2;330;50;8
96429853;2805686431;2019;3;5;28;2533540;15;4;3;50;7;10
13271896;2963802409;2011;3;17;9;5492;32;5;3;66;16;9
37931572;1988428768;2015;2;10;28;104637;82;11;2;46;7;11
122565549;2887294280;2015;3;7;6;2533540;2;2;4;22;6;10
49300551;2963732631;2019;4;0;25;22892;98;13;4;22;2;13
34846011;2537253704;2016;6;5;77;8688;91;17;6;341;60;24
119167882;2904513733;2019;2;4;0;267423;48;8;2;9;2;12
9467775;2168512686;2003;1;60;9;260971;215;25;1;215;25;9
46172239;2010645999;2009;2;0;7;151049;3;0;2;39;8;12
119617667;2788380570;2018;1;2;18;962;1;1;1;1;1;8
43977;1997782780;2009;1;7;18;34643;47;9;1;47;9;11
128105635;2997371484;2020;2;0;20;72235;20;6;2;5;1;8
57373779;3006740954;2020;4;1;28;411639;67;11;4;128;20;10
119162081;2950677962;2018;1;15;30;24417;107;11;1;107;11;11
53123436;2963155561;2018;1;0;0;178322;1;0;1;1;0;9
211093;1974816919;2004;1;10;16;426574;107;16;1;107;16;10
55457260;1967829042;2015;3;7;31;426574;2;1;3;2;1;6
60440399;2928133111;2020;2;221;55;103967;16;3;2;248;22;11
41362361;2259759012;2016;3;21;96;28588;6;4;3;72;27;11
119173875;2808281981;2019;1;1;13;4586;8;3;1;8;3;12
119655085;2996393973;2021;2;0;12;72453;1;0;2;25;8;9
9777324;1498000823;2012;2;13;10;273451;95;17;2;156;27;5
119575250;1974433569;2011;4;18;22;3546;48;12;4;152;21;9
29890747;2030084745;2003;1;2;11;72235;31;13;1;31;13;8
54778609;2577316354;2017;2;13;67;797;126;21;2;32;8;16
1274175;1480441815;2015;6;8;8;23218;20;5;6;28;11;10
17196766;1481665128;1998;2;9;4;102874;99;14;2;48;9;14
6419061;1512971738;2015;4;17;21;9225;89;18;4;13;5;10
88520665;1769723217;2017;2;24;27;27873;19;6;2;169;16;11
18673799;1858481252;2011;2;20;27;23727;86;16;2;2;1;11
9335329;1863109379;2006;1;29;9;3913;17;6;1;17;6;9
5895139;1892947258;2012;2;249;54;268854;159;33;2;519;64;3
231592;1922659888;2018;4;2;48;162708;63;19;4;198;48;7
15128599;1934607826;2004;2;4;9;92059;18;3;2;90;10;10
405416;1966710913;2014;2;1;8;81487;88;14;2;108;12;8
15260855;1967580721;2005;2;22;15;166757;47;14;2;146;33;8
16962010;1968416408;2007;1;22;5;14593;658;104;1;658;104;9
14689162;1970776383;2004;1;3;3;69479;72;13;1;72;13;9
2409408;1975096598;2013;2;15;62;16836;184;31;2;12;4;5
16439523;1979560620;2009;3;104;13;25576;252;22;3;9;4;13
7968335;1980621180;2012;3;24;10;704502;64;10;3;94;13;9
1317;1990488650;2005;4;135;39;23951;96;20;4;299;68;9
119597647;1995302516;2013;1;29;22;94345;88;16;1;88;16;8
119727128;1995934277;2015;2;2;16;367287;27;5;2;27;5;10
16720050;1995938287;1998;2;8;17;133885;5;2;2;206;18;13
119317774;1998589376;2014;1;9;17;21440;27;9;1;27;9;12
119293302;1999080676;2015;1;33;15;55494;131;15;1;131;15;8
15928267;2248676253;2003;2;0;0;14014;589;65;2;136;24;8
15272207;2003201651;2006;1;2;22;17119;33;6;1;33;6;7
7857697;2007303783;2013;1;1;12;37135;27;6;1;27;6;13
7128470;2018787388;2001;2;86;13;125241;549;116;2;175;33;10
5779310;2022139518;2008;3;58;20;131240;436;62;3;25;7;9
51777857;2024232432;2013;2;5;17;286988;95;11;2;4;3;10
119313089;2026323709;2014;1;100;24;39265;93;20;1;93;20;8
15274475;2029415623;2005;1;3;11;94345;83;13;1;83;13;13
32281862;2033745662;2012;1;8;32;12924;16;4;1;16;4;10
119073731;2038712469;2004;2;16;30;30174;80;25;2;205;35;11
15336529;2041222127;2009;1;12;22;6166;4;2;1;4;2;11
7413175;2042783355;2008;3;19;30;135193;84;17;3;281;37;7
119731326;2044153255;2014;1;0;8;12559;27;6;1;27;6;14
15182947;2044496489;2009;2;10;15;59250;116;16;2;10;4;8
18094313;2048259439;2007;2;13;12;12676;48;13;2;122;14;5
9573302;2051428068;2002;5;85;21;18625;103;23;5;13;5;10
545879;2052394694;2007;2;53;25;11400;32;8;2;35;12;9
903171;2055459469;2016;3;4;14;4468;76;12;3;175;24;7
55958119;2056206531;2008;3;0;22;1623;502;53;3;15;3;12
115740477;2062160463;2006;3;11;10;704583;180;12;3;185;16;8
119644401;2066838922;2014;2;17;6;7129;199;20;2;41;6;7
13764873;2067223656;2011;2;1;27;2533540;55;7;2;119;26;10
11196424;2068361646;2009;1;14;28;273451;7;2;1;7;2;10
53997073;2076127955;2014;3;22;12;2597;91;12;3;46;7;9
956912;2078306927;2010;2;9;27;11082;5;1;2;76;15;9
119126067;2083067403;2014;1;67;50;210210;48;16;1;48;16;3
67768710;2083474360;2014;2;22;40;25011;130;21;2;58;17;11
13990046;2084069628;2007;1;28;62;15989;152;29;1;152;29;3
119324248;2087347229;2013;2;8;17;73789;154;26;2;48;12;6
13898911;2090969134;2011;2;8;21;927;79;17;2;263;44;6
115179691;2092514310;2011;3;22;47;40460;216;33;3;153;22;16
14702863;2096354883;2003;3;17;23;20735;6;3;3;212;32;5
7722912;2099446123;2006;3;84;19;16115;337;81;3;262;67;13
119154648;2099571829;2013;2;3;25;11010;42;7;2;50;12;13
88520295;2100848438;2016;4;3;32;225786;7;3;4;107;16;14
6528410;2105085476;2012;2;56;46;9225;28;8;2;173;28;15
1742091;2105392152;2009;4;23;32;8502;480;63;4;327;52;18
2788797;2108138380;2009;1;4;10;4008;132;14;1;132;14;7
88511708;2113018305;2012;2;25;33;30902;280;26;2;29;6;10
195657783;2113183952;2002;1;80;25;84331;33;17;1;33;17;16
16482029;2113368152;2010;2;9;22;22942;53;14;2;491;54;13
15751046;2119711002;2005;1;11;6;28563;4;3;1;4;3;9
59043963;2123633268;2015;1;12;32;43937;43;11;1;43;11;13
11575806;2127425289;2006;2;13;17;88607;208;70;2;67;15;8
3184346;2129479713;2009;4;5;38;633776;23;7;4;408;76;9
2971340;2133950217;2007;2;17;6;37148;57;15;2;105;9;5
205483175;2136780285;2010;2;14;38;16353;126;13;2;16;4;11
119139040;2138425054;2016;3;5;25;5668;42;6;3;79;13;4
53664535;2139301653;2017;2;6;20;157202;140;22;2;38;7;7
5699361;2145848607;2008;4;14;24;259;117;22;4;318;52;14
6970909;2146689624;2015;3;35;31;24809;38;11;3;135;32;12
13031199;2147996100;2013;2;32;52;18581;83;18;2;637;75;6
9810953;2148286006;2016;4;46;28;161871;138;17;4;30;6;10
9540354;2150274516;2015;1;5;10;704502;43;7;1;43;7;10
15836207;2150684097;2012;3;5;16;267423;11;5;3;106;23;17
