s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
196831794;2968483742;2019;142;4;69;7537;4;2;99;2;2;17
16267092;2990249636;2019;6;0;0;13539;35;11;6;387;115;8
118809155;2973172451;2019;4;1;56;79203;25;7;4;100;26;5
53870329;2785707453;2019;4;16;22;348649;37;12;4;462;64;15
55461683;2987117128;2019;12;6;57;189985;88;17;9;814;121;10
174801181;2991771212;2019;12;8;1;408213;84;13;9;118;19;21
207847745;2993488425;2019;5;3;78;74693;72;9;5;12;1;12
204207382;2995126710;2019;2;0;39;1468;10;4;2;79;15;10
209386670;2996375513;2020;1;2;63;104075;365;39;1;365;39;13
119172150;3003472016;2020;2;4;42;140037;91;12;2;2;1;10
36020555;3020235247;2020;3;0;0;111326;127;26;3;11;3;6
54958271;2743965553;2018;1;10;72;1830864;17;5;1;17;5;10
16000227;2158741876;2011;20;55;109;199756;425;80;9;124;50;14
158046699;2946442791;2020;4;11;56;18041;9;4;4;63;21;7
36140855;2093640630;2006;3;9;21;302799;82;14;3;5;4;8
119631856;2313903670;2014;1;1;15;105258;1;1;1;1;1;5
16379500;1997082258;2004;2;164;116;302799;296;48;2;225;35;8
124025386;1964174245;2010;2;0;5;240685;38;5;2;1;0;11
16655682;1987450571;2009;2;8;25;2630;65;17;2;90;15;13
38311586;2346890973;2016;13;6;63;12365;95;35;9;196;97;14
195820669;2954523043;2019;2;0;39;199756;76;10;2;35;6;8
54702550;2042159301;2004;8;20;36;12945;786;183;8;515;174;17
42083260;2004865359;2012;9;90;103;49789;87;34;9;24;11;17
56020119;2962905539;2009;1;4;29;45154;82;8;1;82;8;11
119338115;2950674223;2019;3;23;73;2533540;28;10;3;714;129;15
12411005;2130688806;2007;3;2;24;132643;227;65;3;659;91;10
14804129;1972616871;2007;2;62;38;13396;263;37;2;1;1;23
8644370;1555897420;2006;4;64;61;57363;154;35;4;339;66;15
90241377;2955050794;2019;2;2;64;33339;17;6;2;1421;95;13
207773477;3015424404;2020;72;35;32;14226;333;79;9;21;14;15
119286503;2936809775;2019;6;16;104;2533540;57;19;6;313;87;25
119205311;2883540985;2020;1;3;32;25359;208;49;1;208;49;10
73606380;2493779406;2002;2;3;0;45639;100;31;2;28;17;10
54065733;2166679641;2008;2;13;31;329;14;7;2;231;65;8
119048906;2575376060;2017;1;1;11;37056;57;17;1;57;17;10
118622155;2034099047;2010;8;58;36;24598;2;2;8;265;67;8
51252174;2321600056;1988;1;1;19;18039;97;29;1;97;29;6
55092590;2953651430;2018;3;0;25;6;74;14;3;61;9;11
67825959;1949692666;2013;2;87;22;74987;90;19;2;8;7;10
11878055;1968410787;2011;2;92;27;533856;131;53;2;273;53;14
159041552;2946146816;2019;3;62;59;55817;71;25;3;5;4;15
556951;2095110302;2007;7;13;7;172327;24;5;7;6;4;11
