s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
157613853;2776144780;2016;2;0;0;97237;1;0;2;3;0;18
52258489;1580307494;2016;2;1;39;2892;41;5;2;4;1;9
55367163;1589808924;2016;2;10;36;37009;60;5;2;87;17;15
1988228;1656823633;1999;5;9;0;43598;126;27;5;318;57;9
86860002;1963746795;2014;2;0;0;10124;98;9;2;31;7;6
33895902;1994130471;2015;4;10;52;21994;29;7;4;514;59;10
10318062;1997692616;2015;1;20;64;93501;42;9;1;42;9;6
13636520;2082524353;2008;3;69;37;26884;122;25;3;305;32;9
157883666;2104103266;2011;2;29;16;18978;125;29;2;77;20;7
54624532;2126594284;2012;1;7;11;25420;4;1;1;4;1;13
12801914;2144503323;2009;2;65;24;291673;188;18;2;166;22;15
15485468;2147852396;2008;3;163;23;97237;52;14;3;138;46;14
28386113;2156184739;2013;2;188;40;84331;105;16;2;86;13;17
14775900;2162721244;2010;2;282;44;26091;72;19;2;113;41;6
15288919;2239486121;2008;1;26;28;97237;128;20;1;128;20;7
3276142;2416880457;2018;5;6;38;2533540;15;6;5;337;95;10
54774484;2593890364;2017;4;12;18;171758;52;4;4;47;3;17
32612;1979250086;2010;2;0;16;84900;758;77;2;203;37;14
12610050;2963099326;2019;3;10;81;172393;38;12;3;328;53;12
118655529;2963397682;2016;3;8;0;165260;171;25;3;6;4;11
119262600;2963754909;2015;3;44;46;84331;362;83;3;97;14;14
56352372;2971158574;2018;2;10;37;66844;21;3;2;101;9;10
208512649;3016688727;2020;3;4;98;69080;4;2;3;5;2;9
109368686;2063454251;2010;2;165;28;2533540;104;19;2;150;52;5
71786096;2026344034;2013;2;0;9;12856;44;5;2;200;30;8
154533421;2121159171;2009;2;30;26;2533540;46;15;2;261;53;15
109240823;2042224453;2005;2;11;32;77444;28;8;2;7;3;16
33103243;2130529931;2012;1;25;40;26579;468;54;1;468;54;14
