s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
741294;2963795895;2016;1;82;39;8237;155;26;1;155;26;17
610238;2963816291;2014;3;2;20;515385;34;9;3;2;1;10
11291778;2963888630;2017;4;51;0;98016;41;13;4;644;86;11
9562734;2963980141;2020;2;3;5;53846;2;1;2;59;23;6
3798904;2964052524;2018;3;5;23;859;70;10;3;3;2;13
15804277;2964159769;2015;3;64;54;551;21;8;3;21;6;6
14363806;2964237819;2016;3;52;41;5251;99;27;3;431;77;14
56379747;2980946090;2019;4;1;48;150793;5;2;4;6;4;10
9477394;2984051592;2020;3;5;41;108040;92;23;3;9;2;11
201646782;3015356384;2020;4;8;62;197524;7;2;4;418;69;6
7681414;2524597355;2013;2;0;0;9173;58;6;2;218;36;12
14909923;2343504613;2003;3;22;5;15866;3;2;3;50;19;10
18912086;2268004392;2015;3;10;77;17952;24;7;3;183;36;9
5924731;2089138977;1998;4;285;70;73737;89;20;4;1;1;6
44631702;1523430138;2007;4;163;154;127458;131;18;4;325;59;6
1317906;2046920105;2011;1;8;21;23202;50;9;1;50;9;10
54857174;2529562355;2009;2;2;0;762118;306;56;2;279;64;8
26760003;2013584021;2011;2;226;67;654577;59;13;2;52;9;9
4124228;2086330803;2013;4;24;25;268854;23;7;4;288;31;11
212725799;2114641358;2012;3;0;18;1017;25;5;3;146;19;10
203951374;3028753205;2020;3;3;75;54899;17;4;3;59;9;18
195936411;2147087584;2000;4;84;14;94372;35;17;4;81;27;8
203837061;2977750291;2020;2;0;30;1019458;25;7;2;239;59;15
53760309;1994375499;2011;2;19;41;927315;66;10;2;276;26;17
204788986;2990229938;2020;4;3;9;257552;84;17;4;1;1;13
13901254;2067712168;1999;2;3;27;10652;154;35;2;52;12;15
45949142;2023799487;2006;2;2;24;10564;143;40;2;86;26;11
14361406;1970252823;2011;4;30;20;555443;128;24;4;32;13;12
28107396;2916741317;2006;5;25;0;41152;7;3;5;5;2;10
59336164;1967878238;2007;2;23;8;151888;7;4;2;93;23;7
2642879;2027777127;2012;7;2;10;161086;70;11;7;420;23;18
6346943;2000109296;2011;9;27;52;106141;25;16;9;135;26;14
51864128;2883991406;2020;4;3;31;29618;5;2;4;63;9;10
16082963;2146391353;2006;3;21;82;115127;40;13;3;134;38;12
